name,url,relative_url,alt_names,path,depth,li_classes
Afghanistan,https://en.numista.com/catalogue/afghanistan_section-1.html,/catalogue/afghanistan_section-1.html,,Afghanistan,0,tag_asia tag_no_period
Afghan States,https://en.numista.com/catalogue/afghan_states-1.html,/catalogue/afghan_states-1.html,,Afghanistan > Afghan States,1,tag_asia tag_no_period
Afghan Cities,https://en.numista.com/catalogue/afghan_cities-1.html,/catalogue/afghan_cities-1.html,,Afghanistan > Afghan States > Afghan Cities,2,tag_asia tag_no_period
"Badakhshan, City of",https://en.numista.com/catalogue/badakhshan_city-1.html,/catalogue/badakhshan_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Badakhshan, City of",3,tag_modern
"Balkh, City of",https://en.numista.com/catalogue/balkh_city-1.html,/catalogue/balkh_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Balkh, City of",3,tag_early_modern tag_modern
"Ghaznayn, City of",https://en.numista.com/catalogue/ghaznayn_city-1.html,/catalogue/ghaznayn_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Ghaznayn, City of",3,tag_modern
"Herat, City of",https://en.numista.com/catalogue/herat_city-1.html,/catalogue/herat_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Herat, City of",3,tag_medieval tag_early_modern tag_modern
"Jalalabad, City of",https://en.numista.com/catalogue/jalalabad_city-1.html,/catalogue/jalalabad_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Jalalabad, City of",3,tag_modern
"Kabul, City of",https://en.numista.com/catalogue/kabul_city-1.html,/catalogue/kabul_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Kabul, City of",3,tag_modern
"Khanabad, City of",https://en.numista.com/catalogue/khanabad_city-1.html,/catalogue/khanabad_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Khanabad, City of",3,tag_modern
"Peshawar, City of",https://en.numista.com/catalogue/peshawar_city-1.html,/catalogue/peshawar_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Peshawar, City of",3,tag_modern
"Qandahar, City of",https://en.numista.com/catalogue/qandahar_city-1.html,/catalogue/qandahar_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Qandahar, City of",3,tag_early_modern tag_modern
"Qunduz, City of",https://en.numista.com/catalogue/qunduz_city-1.html,/catalogue/qunduz_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Qunduz, City of",3,tag_medieval tag_early_modern
"Sar-i Pul, City of",https://en.numista.com/catalogue/sari_pul_city-1.html,/catalogue/sari_pul_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Sar-i Pul, City of",3,tag_modern
"Shaburghan, City of",https://en.numista.com/catalogue/shaburghan_city-1.html,/catalogue/shaburghan_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Shaburghan, City of",3,tag_early_modern
"Taliqan, City of",https://en.numista.com/catalogue/taliqan_city-1.html,/catalogue/taliqan_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Taliqan, City of",3,tag_medieval tag_early_modern
"Tashqurghan, City of",https://en.numista.com/catalogue/tashqurghan_city-1.html,/catalogue/tashqurghan_city-1.html,,"Afghanistan > Afghan States > Afghan Cities > Tashqurghan, City of",3,tag_modern
